id,domain,category,audience,question,answer,keywords,source
VASTRA-00016,handloom,Materials,customer|professional,What is Oak Tasar Silk and what is it used for?,"Oak Tasar Silk is a wild/vanya silk. Common handloom uses include shawls, sarees and traditional textiles. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","oak tasar silk, material, uses",Curated Vastra domain knowledge
VASTRA-00017,handloom,Material Care,customer,How should I wash Oak Tasar Silk?,Follow the label; delicate pieces should generally be handled gently and may require professional cleaning.,"oak tasar silk, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00018,handloom,Material Care,customer,How should I iron Oak Tasar Silk?,Low heat only when permitted.,"oak tasar silk, iron, pressing",Curated Vastra domain knowledge
VASTRA-00019,handloom,Material Care,customer,How should I store Oak Tasar Silk?,"Store dry, clean and protected from moisture and insects.","oak tasar silk, storage",Curated Vastra domain knowledge
VASTRA-00020,handloom,Material Selection,customer|professional,Is Oak Tasar Silk suitable for everyday use?,"Oak Tasar Silk can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","oak tasar silk, everyday, selection",Curated Vastra domain knowledge
VASTRA-00021,handloom,Materials,customer|professional,What is Eri Silk and what is it used for?,"Eri Silk is a vanya silk. Common handloom uses include shawls, scarves, garments and blends. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","eri silk, material, uses",Curated Vastra domain knowledge
VASTRA-00022,handloom,Material Care,customer,How should I wash Eri Silk?,Use gentle washing only when the care label permits; otherwise use professional cleaning.,"eri silk, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00023,handloom,Material Care,customer,How should I iron Eri Silk?,Low heat or gentle steam if permitted.,"eri silk, iron, pressing",Curated Vastra domain knowledge
VASTRA-00024,handloom,Material Care,customer,How should I store Eri Silk?,"Store clean, dry and away from strong light.","eri silk, storage",Curated Vastra domain knowledge
VASTRA-00025,handloom,Material Selection,customer|professional,Is Eri Silk suitable for everyday use?,"Eri Silk can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","eri silk, everyday, selection",Curated Vastra domain knowledge
VASTRA-00026,handloom,Materials,customer|professional,What is Muga Silk and what is it used for?,"Muga Silk is a vanya silk. Common handloom uses include Assamese ceremonial textiles and premium sarees. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","muga silk, material, uses",Curated Vastra domain knowledge
VASTRA-00027,handloom,Material Care,customer,How should I wash Muga Silk?,Follow product-specific care. Valuable Muga pieces are best handled conservatively and professionally cleaned when the label recommends it.,"muga silk, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00028,handloom,Material Care,customer,How should I iron Muga Silk?,Low heat with a pressing cloth if ironing is allowed.,"muga silk, iron, pressing",Curated Vastra domain knowledge
VASTRA-00029,handloom,Material Care,customer,How should I store Muga Silk?,"Store dry, clean and protected from excessive light and moisture.","muga silk, storage",Curated Vastra domain knowledge
VASTRA-00030,handloom,Material Selection,customer|professional,Is Muga Silk suitable for everyday use?,"Muga Silk can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","muga silk, everyday, selection",Curated Vastra domain knowledge
VASTRA-00031,handloom,Materials,customer|professional,What is Cotton and what is it used for?,"Cotton is a cellulosic natural fibre. Common handloom uses include sarees, dhotis, veshtis, towels, shirts, bedsheets and home textiles. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","cotton, material, uses",Curated Vastra domain knowledge
VASTRA-00032,handloom,Material Care,customer,How should I wash Cotton?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","cotton, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00033,handloom,Material Care,customer,How should I iron Cotton?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","cotton, iron, pressing",Curated Vastra domain knowledge
VASTRA-00034,handloom,Material Care,customer,How should I store Cotton?,"Store completely dry in a clean, ventilated place.","cotton, storage",Curated Vastra domain knowledge
VASTRA-00035,handloom,Material Selection,customer|professional,Is Cotton suitable for everyday use?,"Cotton can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","cotton, everyday, selection",Curated Vastra domain knowledge
VASTRA-00036,handloom,Materials,customer|professional,What is Khadi Cotton and what is it used for?,"Khadi Cotton is a hand-spun cotton textile. Common handloom uses include sarees, shirts, kurtas, dhotis and everyday clothing. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","khadi cotton, material, uses",Curated Vastra domain knowledge
VASTRA-00037,handloom,Material Care,customer,How should I wash Khadi Cotton?,Use gentle washing according to the label. Avoid aggressive detergents and prolonged soaking.,"khadi cotton, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00038,handloom,Material Care,customer,How should I iron Khadi Cotton?,Use a cotton-appropriate setting while respecting the care label.,"khadi cotton, iron, pressing",Curated Vastra domain knowledge
VASTRA-00039,handloom,Material Care,customer,How should I store Khadi Cotton?,Keep dry and ventilated; avoid storing damp.,"khadi cotton, storage",Curated Vastra domain knowledge
VASTRA-00040,handloom,Material Selection,customer|professional,Is Khadi Cotton suitable for everyday use?,"Khadi Cotton can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","khadi cotton, everyday, selection",Curated Vastra domain knowledge
VASTRA-00041,handloom,Materials,customer|professional,What is Linen and what is it used for?,"Linen is a cellulosic bast fibre. Common handloom uses include summer sarees, shirts, trousers, table linen and home textiles. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","linen, material, uses",Curated Vastra domain knowledge
VASTRA-00042,handloom,Material Care,customer,How should I wash Linen?,Often washable according to the label; gentle washing helps preserve texture and shape.,"linen, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00043,handloom,Material Care,customer,How should I iron Linen?,"Linen can tolerate more heat than delicate fibres, but follow the label and use a pressing cloth when appropriate.","linen, iron, pressing",Curated Vastra domain knowledge
VASTRA-00044,handloom,Material Care,customer,How should I store Linen?,Store dry and ventilated.,"linen, storage",Curated Vastra domain knowledge
VASTRA-00045,handloom,Material Selection,customer|professional,Is Linen suitable for everyday use?,"Linen can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","linen, everyday, selection",Curated Vastra domain knowledge
VASTRA-00046,handloom,Materials,customer|professional,What is Jute and what is it used for?,"Jute is a cellulosic bast fibre. Common handloom uses include bags, mats, rugs and home décor. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","jute, material, uses",Curated Vastra domain knowledge
VASTRA-00047,handloom,Material Care,customer,How should I wash Jute?,Cleaning depends on construction; avoid soaking unless the care label explicitly allows it.,"jute, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00048,handloom,Material Care,customer,How should I iron Jute?,Low to moderate heat with a pressing cloth if ironing is necessary.,"jute, iron, pressing",Curated Vastra domain knowledge
VASTRA-00049,handloom,Material Care,customer,How should I store Jute?,Keep completely dry to reduce mildew risk.,"jute, storage",Curated Vastra domain knowledge
VASTRA-00050,handloom,Material Selection,customer|professional,Is Jute suitable for everyday use?,"Jute can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","jute, everyday, selection",Curated Vastra domain knowledge
VASTRA-00051,handloom,Materials,customer|professional,What is Wool and what is it used for?,"Wool is a animal protein fibre. Common handloom uses include shawls, blankets, winter garments and accessories. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","wool, material, uses",Curated Vastra domain knowledge
VASTRA-00052,handloom,Material Care,customer,How should I wash Wool?,Use gentle hand washing or professional cleaning according to the label. Avoid hot water and vigorous agitation unless permitted.,"wool, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00053,handloom,Material Care,customer,How should I iron Wool?,Low heat; avoid crushing. Gentle steaming may be suitable when the label allows it.,"wool, iron, pressing",Curated Vastra domain knowledge
VASTRA-00054,handloom,Material Care,customer,How should I store Wool?,"Store clean, dry and protected from insects.","wool, storage",Curated Vastra domain knowledge
VASTRA-00055,handloom,Material Selection,customer|professional,Is Wool suitable for everyday use?,"Wool can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","wool, everyday, selection",Curated Vastra domain knowledge
VASTRA-00056,handloom,Materials,customer|professional,What is Pashmina and what is it used for?,"Pashmina is a fine animal fibre. Common handloom uses include shawls, stoles and luxury wraps. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","pashmina, material, uses",Curated Vastra domain knowledge
VASTRA-00057,handloom,Material Care,customer,How should I wash Pashmina?,Professional cleaning is often safest for valuable pieces unless the care label says otherwise.,"pashmina, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00058,handloom,Material Care,customer,How should I iron Pashmina?,Low heat or gentle steaming if permitted; avoid direct high heat.,"pashmina, iron, pressing",Curated Vastra domain knowledge
VASTRA-00059,handloom,Material Care,customer,How should I store Pashmina?,Fold loosely in breathable storage; protect from insects and moisture.,"pashmina, storage",Curated Vastra domain knowledge
VASTRA-00060,handloom,Material Selection,customer|professional,Is Pashmina suitable for everyday use?,"Pashmina can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","pashmina, everyday, selection",Curated Vastra domain knowledge
VASTRA-00061,handloom,Materials,customer|professional,What is Yak Wool and what is it used for?,"Yak Wool is a animal fibre. Common handloom uses include shawls, wraps and winter textiles. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","yak wool, material, uses",Curated Vastra domain knowledge
VASTRA-00062,handloom,Material Care,customer,How should I wash Yak Wool?,Use the product care label; gentle cleaning is preferred.,"yak wool, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00063,handloom,Material Care,customer,How should I iron Yak Wool?,Low heat only when permitted.,"yak wool, iron, pressing",Curated Vastra domain knowledge
VASTRA-00064,handloom,Material Care,customer,How should I store Yak Wool?,Store dry and protected from insects.,"yak wool, storage",Curated Vastra domain knowledge
VASTRA-00065,handloom,Material Selection,customer|professional,Is Yak Wool suitable for everyday use?,"Yak Wool can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","yak wool, everyday, selection",Curated Vastra domain knowledge
VASTRA-00066,handloom,Materials,customer|professional,What is Silk-Cotton Blend and what is it used for?,"Silk-Cotton Blend is a blended fibre. Common handloom uses include sarees, dress materials and lightweight garments. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","silk-cotton blend, material, uses",Curated Vastra domain knowledge
VASTRA-00067,handloom,Material Care,customer,How should I wash Silk-Cotton Blend?,Follow the label because care depends on the blend ratio and finishing. Gentle washing is safer than harsh treatment.,"silk-cotton blend, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00068,handloom,Material Care,customer,How should I iron Silk-Cotton Blend?,Use the lower-temperature requirement of the blend.,"silk-cotton blend, iron, pressing",Curated Vastra domain knowledge
VASTRA-00069,handloom,Material Care,customer,How should I store Silk-Cotton Blend?,Store clean and dry.,"silk-cotton blend, storage",Curated Vastra domain knowledge
VASTRA-00070,handloom,Material Selection,customer|professional,Is Silk-Cotton Blend suitable for everyday use?,"Silk-Cotton Blend can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","silk-cotton blend, everyday, selection",Curated Vastra domain knowledge
VASTRA-00071,handloom,Materials,customer|professional,What is Cotton-Linen Blend and what is it used for?,"Cotton-Linen Blend is a blended fibre. Common handloom uses include summer clothing, sarees and home textiles. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","cotton-linen blend, material, uses",Curated Vastra domain knowledge
VASTRA-00072,handloom,Material Care,customer,How should I wash Cotton-Linen Blend?,Gentle washing according to the label is generally appropriate.,"cotton-linen blend, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00073,handloom,Material Care,customer,How should I iron Cotton-Linen Blend?,Moderate heat only if permitted.,"cotton-linen blend, iron, pressing",Curated Vastra domain knowledge
VASTRA-00074,handloom,Material Care,customer,How should I store Cotton-Linen Blend?,Store dry and ventilated.,"cotton-linen blend, storage",Curated Vastra domain knowledge
VASTRA-00075,handloom,Material Selection,customer|professional,Is Cotton-Linen Blend suitable for everyday use?,"Cotton-Linen Blend can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","cotton-linen blend, everyday, selection",Curated Vastra domain knowledge
VASTRA-00076,handloom,Materials,customer|professional,What is Viscose/Rayon and what is it used for?,"Viscose/Rayon is a regenerated cellulosic fibre. Common handloom uses include dresses, sarees, stoles and fashion textiles. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","viscose/rayon, material, uses",Curated Vastra domain knowledge
VASTRA-00077,handloom,Material Care,customer,How should I wash Viscose/Rayon?,Carefully follow the label; some viscose fabrics can weaken or distort when wet.,"viscose/rayon, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00078,handloom,Material Care,customer,How should I iron Viscose/Rayon?,Low heat is safer; avoid excessive heat.,"viscose/rayon, iron, pressing",Curated Vastra domain knowledge
VASTRA-00079,handloom,Material Care,customer,How should I store Viscose/Rayon?,Store dry and avoid prolonged compression.,"viscose/rayon, storage",Curated Vastra domain knowledge
VASTRA-00080,handloom,Material Selection,customer|professional,Is Viscose/Rayon suitable for everyday use?,"Viscose/Rayon can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","viscose/rayon, everyday, selection",Curated Vastra domain knowledge
VASTRA-00081,handloom,Materials,customer|professional,What is Bamboo Viscose and what is it used for?,"Bamboo Viscose is a regenerated cellulosic fibre. Common handloom uses include soft garments and blended textiles. The exact characteristics depend on yarn quality, weave structure, finishing and construction.","bamboo viscose, material, uses",Curated Vastra domain knowledge
VASTRA-00082,handloom,Material Care,customer,How should I wash Bamboo Viscose?,Follow the label and prefer gentle washing.,"bamboo viscose, wash, cleaning",Curated Vastra domain knowledge
VASTRA-00083,handloom,Material Care,customer,How should I iron Bamboo Viscose?,Low to medium heat if permitted.,"bamboo viscose, iron, pressing",Curated Vastra domain knowledge
VASTRA-00084,handloom,Material Care,customer,How should I store Bamboo Viscose?,Store dry and away from prolonged direct light.,"bamboo viscose, storage",Curated Vastra domain knowledge
VASTRA-00085,handloom,Material Selection,customer|professional,Is Bamboo Viscose suitable for everyday use?,"Bamboo Viscose can be suitable for appropriate everyday or occasional products depending on the construction. Check the specific product's weight, weave, finishing and care label before choosing it for frequent use.","bamboo viscose, everyday, selection",Curated Vastra domain knowledge
VASTRA-00086,handloom,Handloom Products,customer|professional|seller,What is a Kanchipuram Silk Saree?,"Kanchipuram Silk Saree is a handloom/textile product associated with Tamil Nadu. Common material descriptions include silk; often zari. It is commonly used for weddings, festivals and ceremonial wear. Rich silk saree tradition associated with Kanchipuram; exact fibre, zari and construction should be verified from the product record.","kanchipuram silk saree, tamil nadu, silk; often zari, handloom",Curated Vastra domain knowledge
VASTRA-00087,handloom,Product Care,customer,How should I wash my Kanchipuram Silk Saree?,"Check the product care label. Because products may contain different fibres, dyes, zari, embroidery or finishes, use the specified washing method rather than assuming a generic method.","kanchipuram silk saree, washing, care",Curated Vastra domain knowledge
VASTRA-00088,handloom,Product Care,customer,How should I iron my Kanchipuram Silk Saree?,Follow the product care label. Use the lowest effective heat and a pressing cloth for delicate or decorative surfaces when permitted.,"kanchipuram silk saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00089,handloom,Product Care,customer,How should I store my Kanchipuram Silk Saree?,"Store clean and completely dry in a breathable, protected environment away from prolonged direct sunlight and moisture.","kanchipuram silk saree, storage, care",Curated Vastra domain knowledge
VASTRA-00090,handloom,Handloom Products,customer|professional|seller,What is a Banarasi Saree?,"Banarasi Saree is a handloom/textile product associated with Uttar Pradesh. Common material descriptions include silk; zari or other decorative yarns. It is commonly used for weddings, festivals and formal wear. Traditional Banaras weaving tradition known for elaborate motifs and brocade-style effects.","banarasi saree, uttar pradesh, silk; zari or other decorative yarns, handloom",Curated Vastra domain knowledge
VASTRA-00091,handloom,Product Care,customer,How should I wash my Banarasi Saree?,"Check the product care label. Because products may contain different fibres, dyes, zari, embroidery or finishes, use the specified washing method rather than assuming a generic method.","banarasi saree, washing, care",Curated Vastra domain knowledge
VASTRA-00092,handloom,Product Care,customer,How should I iron my Banarasi Saree?,Follow the product care label. Use the lowest effective heat and a pressing cloth for delicate or decorative surfaces when permitted.,"banarasi saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00093,handloom,Product Care,customer,How should I store my Banarasi Saree?,"Store clean and completely dry in a breathable, protected environment away from prolonged direct sunlight and moisture.","banarasi saree, storage, care",Curated Vastra domain knowledge
VASTRA-00094,handloom,Handloom Products,customer|professional|seller,What is a Baluchari Saree?,"Baluchari Saree is a handloom/textile product associated with West Bengal. Common material descriptions include silk, commonly Tussar-associated traditions. It is commonly used for formal and ceremonial wear. Traditional handloom silk sari known for narrative and figurative motifs.","baluchari saree, west bengal, silk, commonly tussar-associated traditions, handloom",Curated Vastra domain knowledge
VASTRA-00095,handloom,Product Care,customer,How should I wash my Baluchari Saree?,"Check the product care label. Because products may contain different fibres, dyes, zari, embroidery or finishes, use the specified washing method rather than assuming a generic method.","baluchari saree, washing, care",Curated Vastra domain knowledge
VASTRA-00096,handloom,Product Care,customer,How should I iron my Baluchari Saree?,Follow the product care label. Use the lowest effective heat and a pressing cloth for delicate or decorative surfaces when permitted.,"baluchari saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00097,handloom,Product Care,customer,How should I store my Baluchari Saree?,"Store clean and completely dry in a breathable, protected environment away from prolonged direct sunlight and moisture.","baluchari saree, storage, care",Curated Vastra domain knowledge
VASTRA-00098,handloom,Handloom Products,customer|professional|seller,What is a Paithani Saree?,Paithani Saree is a handloom/textile product associated with Maharashtra. Common material descriptions include silk and/or cotton depending on product. It is commonly used for festive and ceremonial wear. Traditional Paithani weaving is associated with elaborate pallus and distinctive motifs.,"paithani saree, maharashtra, silk and/or cotton depending on product, handloom",Curated Vastra domain knowledge
VASTRA-00099,handloom,Product Care,customer,How should I wash my Paithani Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","paithani saree, washing, care",Curated Vastra domain knowledge
VASTRA-00100,handloom,Product Care,customer,How should I iron my Paithani Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","paithani saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00101,handloom,Product Care,customer,How should I store my Paithani Saree?,"Store completely dry in a clean, ventilated place.","paithani saree, storage, care",Curated Vastra domain knowledge
VASTRA-00102,handloom,Handloom Products,customer|professional|seller,What is a Chanderi Saree?,"Chanderi Saree is a handloom/textile product associated with Madhya Pradesh. Common material descriptions include silk, cotton or silk-cotton. It is commonly used for light festive and everyday formal wear. Known for lightweight fabric, fine texture and traditional motifs.","chanderi saree, madhya pradesh, silk, cotton or silk-cotton, handloom",Curated Vastra domain knowledge
VASTRA-00103,handloom,Product Care,customer,How should I wash my Chanderi Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","chanderi saree, washing, care",Curated Vastra domain knowledge
VASTRA-00104,handloom,Product Care,customer,How should I iron my Chanderi Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","chanderi saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00105,handloom,Product Care,customer,How should I store my Chanderi Saree?,"Store completely dry in a clean, ventilated place.","chanderi saree, storage, care",Curated Vastra domain knowledge
VASTRA-00106,handloom,Handloom Products,customer|professional|seller,What is a Maheshwari Saree?,"Maheshwari Saree is a handloom/textile product associated with Madhya Pradesh. Common material descriptions include cotton, silk or blends. It is commonly used for everyday formal and festive wear. Associated with Maheshwar and known for distinctive borders and lightweight construction.","maheshwari saree, madhya pradesh, cotton, silk or blends, handloom",Curated Vastra domain knowledge
VASTRA-00107,handloom,Product Care,customer,How should I wash my Maheshwari Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","maheshwari saree, washing, care",Curated Vastra domain knowledge
VASTRA-00108,handloom,Product Care,customer,How should I iron my Maheshwari Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","maheshwari saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00109,handloom,Product Care,customer,How should I store my Maheshwari Saree?,"Store completely dry in a clean, ventilated place.","maheshwari saree, storage, care",Curated Vastra domain knowledge
VASTRA-00110,handloom,Handloom Products,customer|professional|seller,What is a Pochampally Ikat Saree?,"Pochampally Ikat Saree is a handloom/textile product associated with Telangana. Common material descriptions include cotton, silk or blends. It is commonly used for everyday and festive wear. Ikat patterns are created by resist-dyeing yarns before weaving.","pochampally ikat saree, telangana, cotton, silk or blends, handloom",Curated Vastra domain knowledge
VASTRA-00111,handloom,Product Care,customer,How should I wash my Pochampally Ikat Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","pochampally ikat saree, washing, care",Curated Vastra domain knowledge
VASTRA-00112,handloom,Product Care,customer,How should I iron my Pochampally Ikat Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","pochampally ikat saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00113,handloom,Product Care,customer,How should I store my Pochampally Ikat Saree?,"Store completely dry in a clean, ventilated place.","pochampally ikat saree, storage, care",Curated Vastra domain knowledge
VASTRA-00114,handloom,Handloom Products,customer|professional|seller,What is a Uppada Jamdani Saree?,Uppada Jamdani Saree is a handloom/textile product associated with Andhra Pradesh. Common material descriptions include fine cotton and other variants. It is commonly used for formal and festive wear. Known for delicate Jamdani motifs and fine handloom construction.,"uppada jamdani saree, andhra pradesh, fine cotton and other variants, handloom",Curated Vastra domain knowledge
VASTRA-00115,handloom,Product Care,customer,How should I wash my Uppada Jamdani Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","uppada jamdani saree, washing, care",Curated Vastra domain knowledge
VASTRA-00116,handloom,Product Care,customer,How should I iron my Uppada Jamdani Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","uppada jamdani saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00117,handloom,Product Care,customer,How should I store my Uppada Jamdani Saree?,"Store completely dry in a clean, ventilated place.","uppada jamdani saree, storage, care",Curated Vastra domain knowledge
VASTRA-00118,handloom,Handloom Products,customer|professional|seller,What is a Gadwal Saree?,Gadwal Saree is a handloom/textile product associated with Telangana. Common material descriptions include silk-cotton and related constructions. It is commonly used for festive and ceremonial wear. Known for distinctive body and border/pallu construction.,"gadwal saree, telangana, silk-cotton and related constructions, handloom",Curated Vastra domain knowledge
VASTRA-00119,handloom,Product Care,customer,How should I wash my Gadwal Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","gadwal saree, washing, care",Curated Vastra domain knowledge
VASTRA-00120,handloom,Product Care,customer,How should I iron my Gadwal Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","gadwal saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00121,handloom,Product Care,customer,How should I store my Gadwal Saree?,"Store completely dry in a clean, ventilated place.","gadwal saree, storage, care",Curated Vastra domain knowledge
VASTRA-00122,handloom,Handloom Products,customer|professional|seller,What is a Ilkal Saree?,"Ilkal Saree is a handloom/textile product associated with Karnataka. Common material descriptions include cotton, silk-cotton and related variants. It is commonly used for everyday and festive wear. Traditional Ilkal sarees are known for characteristic borders and pallu construction.","ilkal saree, karnataka, cotton, silk-cotton and related variants, handloom",Curated Vastra domain knowledge
VASTRA-00123,handloom,Product Care,customer,How should I wash my Ilkal Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","ilkal saree, washing, care",Curated Vastra domain knowledge
VASTRA-00124,handloom,Product Care,customer,How should I iron my Ilkal Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","ilkal saree, ironing, care",Curated Vastra domain knowledge
